ID,designation_header,strain_number_header,is_type_strain_header,species,"Genome seq. accession number","Oxygen tolerance"
219,,"DSM 9849, ATCC 49176, CIP 103242, SC 10",1,"Abiotrophia defectiva",2562617177,anaerobe
,,,,,46125.34,
,,,,,592010.4,
,,,,,GCA_000160075,
159837,OUC007,"KCTC 52933, MCCC 1K03450, JCM 32025",1,"Abyssibacter profundi",2831460164,aerobe
,,,,,GCA_003151135,
,,,,,QEQK00000000,
132478,L81,"DSM 29592, JCM 30920",1,"Vallitalea guaymasensis",1185412.3,"obligate anaerobe"
24718,FYK2218,"DSM 28897, KCTC 12899, NBRC 101209",1,"Acanthopleuribacter pedis",442870.4,aerobe
,,,,,GCA_017377855,
7517,CSC,"DSM 14247, CCUG 49701, NBRC 107788, CIP 109141, JCM 14300",1,"Acaricomes phytoseiuli",1120917.3,aerobe
,,,,,2517572146,
,,,,,AQXM00000000,
,,,,,GCA_000376245,
164491,HSLZ-75,"JCM 33270, CICC 6269",1,"Acetilactobacillus jinshanensis",CP034726,"facultative anaerobe"
,,,,,GCA_004359375,
6338,"12185, 139 B","DSM 5522, ATCC 43876",1,"Acetitomaculum ruminis",1120918.3,anaerobe
,,,,,2651870361,
,,,,,GCA_900112085,
2838,Z-7026,"DSM 17461, VKM B-2349",1,"Clostridium alkalicellulosi",2509887034,anaerobe
,,,,,320502.3,
,,,,,GCA_008125075,
17674,CD2,"DSM 1870, ATCC 33288, NRC 2248",1,"Acetivibrio cellulolyticus",2510461053,anaerobe
,,,,,509191.4,
,,,,,GCA_000179595,
2853,EBR-02E-0045,"DSM 19732, NBRC 101661, EBR 45",1,"Acetivibrio clariflavus",2507262051,anaerobe
,,,,,720554.3,
,,,,,GCA_000237085,
157972,N2K1,"DSM 107956, CECT 9704",1,"Acetivibrio mesophilus",2487273.3,anaerobe
,,,,,2880951795,
,,,,,GCA_004102745,
,,,,,RLII00000000,
132679,GGR1,"DSM 101079, CECT 9155",1,"Acetivibrio saccincola",1677857.3,anaerobe
,,,,,2775506833,
,,,,,GCA_002844395,
2827,CSK1,"DSM 16021, IAM 15070, JCM 21531, NBRC 103399",1,"Acetivibrio straminisolvens",1294263.3,anaerobe
,,,,,2772190653,
,,,,,BAVR00000000,
,,,,,GCA_000521465,
2729,,"DSM 1237, ATCC 27405, JCM 9322, NCIMB 10682, CECT 593, IAM 13660, LMG 10435, NBRC 103400, NRRL B-4536, VPI 7372",1,"Acetivibrio thermocellus",203119.11,anaerobe
,,,,,640069309,
,,,,,CP000568,
,,,,,GCA_000015865,
