Total bacterial genomes analyzed: 59851
Bacterial genomes with at least one BGC: 50828
Bacterial genomes with at least one NRPS: 19758
Bacterial genomes with at least one NRP-metallophore: 4098

Phylum statistics sorted by abundance:
Phylum,total_genomes, with_bgc, with_nrps, with_nrp_metallophore, total_nrp_metallophore
Pseudomonadota, 16536, 15103, 6621, 2042, 2439
Bacteroidota, 8338, 7231, 2039, 0, 0
Bacillota_A, 8007, 7336, 2056, 17, 17
Actinomycetota, 6931, 5944, 3541, 1561, 1986
Bacillota, 4013, 3229, 1119, 191, 192
Patescibacteria, 2448, 460, 49, 0, 0
Cyanobacteriota, 1318, 1199, 498, 176, 200
Chloroflexota, 1317, 949, 298, 14, 18
Verrucomicrobiota, 1304, 1162, 378, 2, 2
Planctomycetota, 1034, 970, 520, 1, 1
Desulfobacterota, 847, 817, 280, 5, 5
Acidobacteriota, 836, 785, 575, 9, 9
Spirochaetota, 673, 478, 94, 0, 0
Campylobacterota, 533, 326, 15, 0, 0
Myxococcota, 418, 410, 295, 51, 54
Bacillota_C, 386, 366, 79, 8, 8
Bacillota_B, 318, 308, 67, 3, 3
Nitrospirota, 307, 293, 165, 15, 16
Omnitrophota, 278, 205, 69, 0, 0
Desulfobacterota_F, 270, 254, 104, 0, 0
Bdellovibrionota, 248, 225, 91, 1, 1
Gemmatimonadota, 235, 204, 58, 1, 1
Elusimicrobiota, 184, 172, 14, 0, 0
Marinisomatota, 183, 71, 9, 0, 0
Chlamydiota, 170, 125, 89, 0, 0
Deinococcota, 138, 127, 17, 0, 0
Bacillota_G, 131, 111, 4, 0, 0
Synergistota, 130, 102, 21, 0, 0
Fibrobacterota, 120, 115, 56, 0, 0
Armatimonadota, 114, 103, 23, 0, 0
Bacillota_D, 104, 84, 1, 0, 0
Dormibacterota, 88, 86, 11, 0, 0
Fusobacteriota, 88, 87, 85, 0, 0
Eremiobacterota, 80, 77, 21, 0, 0
Thermotogota, 80, 47, 2, 0, 0
Methylomirabilota, 72, 72, 35, 0, 0
Aquificota, 71, 67, 42, 0, 0
WOR-3, 64, 35, 1, 0, 0
Desulfobacterota_B, 63, 57, 28, 0, 0
Bacillota_E, 63, 34, 0, 0, 0
Cloacimonadota, 60, 29, 6, 0, 0
Nitrospinota, 59, 51, 4, 0, 0
Dependentiae, 59, 17, 16, 0, 0
Margulisbacteria, 53, 37, 13, 0, 0
Bacillota_F, 48, 42, 3, 0, 0
Zixibacteria, 45, 37, 0, 0, 0
Bipolaricaulota, 43, 33, 2, 0, 0
SAR324, 40, 37, 19, 0, 0
Hydrogenedentota, 38, 35, 8, 0, 0
Latescibacterota, 36, 35, 20, 0, 0
Atribacterota, 35, 17, 0, 0, 0
Krumholzibacteriota, 35, 23, 7, 0, 0
Poribacteria, 34, 34, 30, 0, 0
KSB1, 33, 31, 11, 0, 0
UBA10199, 31, 31, 1, 0, 0
Myxococcota_A, 31, 29, 13, 1, 1
Eisenbacteria, 30, 28, 6, 0, 0
Desulfobacterota_G, 29, 18, 1, 0, 0
Desulfobacterota_E, 29, 23, 2, 0, 0
Desulfobacterota_D, 26, 16, 7, 0, 0
Caldisericota, 23, 15, 0, 0, 0
Riflebacteria, 22, 21, 14, 0, 0
AABM5-125-24, 20, 17, 1, 0, 0
Deferribacterota, 19, 13, 2, 0, 0
