node_ID,label,NRP_metallophores_detected,Matched_count,NRPmet_per_genome,Matched_reps
ID13015,Streptomyces_RG1,99,151,0.655629139072848,GCA_000696115.1;GCA_000715605.1;GCA_000715615.1;GCA_000715635.1;GCA_000720845.1;GCA_003248315.1;GCF_000009765.2;GCF_000091305.1;GCF_000158955.1;GCF_000225525.1;GCF_000317595.1;GCF_000331005.1;GCF_000349325.1;GCF_000367365.1;GCF_000373625.1;GCF_000376565.1;GCF_000383595.1;GCF_000383615.1;GCF_000444875.1;GCF_000497445.1;GCF_000716435.1;GCF_000716535.1;GCF_000716605.1;GCF_000717055.1;GCF_000717875.1;GCF_000717995.1;GCF_000718165.1;GCF_000718775.1;GCF_000718785.1;GCF_000719285.1;GCF_000720135.1;GCF_000720185.1;GCF_000720255.1;GCF_000720765.1;GCF_000720835.1;GCF_000721105.1;GCF_000721235.1;GCF_000721605.1;GCF_000725125.1;GCF_000725495.1;GCF_000725625.1;GCF_000761215.1;GCF_000772045.1;GCF_000802245.2;GCF_000829695.1;GCF_000931445.1;GCF_000972385.1;GCF_000974985.2;GCF_000980885.2;GCF_001005085.2;GCF_001013905.1;GCF_001184025.1;GCF_001267885.1;GCF_001270495.1;GCF_001279005.1;GCF_001279775.1;GCF_001280005.1;GCF_001280015.1;GCF_001280065.1;GCF_001282115.1;GCF_001293595.1;GCF_001417775.1;GCF_001418335.1;GCF_001418415.1;GCF_001418475.1;GCF_001418565.1;GCF_001418655.1;GCF_001419705.1;GCF_001419765.1;GCF_001419795.1;GCF_001428885.1;GCF_001507435.1;GCF_001509475.1;GCF_001509795.1;GCF_001513955.1;GCF_001513965.1;GCF_001513975.1;GCF_001514035.1;GCF_001514065.1;GCF_001514115.1;GCF_001514125.1;GCF_001514145.1;GCF_001514195.1;GCF_001514205.1;GCF_001514215.1;GCF_001514235.1;GCF_001514265.1;GCF_001514285.1;GCF_001514305.1;GCF_001542625.1;GCF_001550375.1;GCF_001636945.1;GCF_001642995.1;GCF_001654495.1;GCF_001685355.1;GCF_001735805.1;GCF_001746295.1;GCF_001746365.1;GCF_001866645.1;GCF_001896135.2;GCF_001905345.1;GCF_001905385.1;GCF_001905725.1;GCF_001905845.1;GCF_001906585.1;GCF_001953885.1;GCF_002005225.1;GCF_002005565.1;GCF_002019855.1;GCF_002078175.1;GCF_002148965.1;GCF_002150735.1;GCF_002154505.1;GCF_002154555.1;GCF_002154575.1;GCF_002155905.1;GCF_002155915.1;GCF_002217755.1;GCF_002237655.1;GCF_002242805.1;GCF_002291145.1;GCF_002300165.1;GCF_002803075.1;GCF_002899455.1;GCF_002911015.1;GCF_002920535.1;GCF_002920615.1;GCF_002920635.1;GCF_002939385.1;GCF_002946835.1;GCF_002954775.1;GCF_003024195.1;GCF_003032475.1;GCF_003074055.1;GCF_003112515.1;GCF_003112535.1;GCF_003112555.1;GCF_003112575.1;GCF_003112595.1;GCF_003143855.1;GCF_003143935.1;GCF_900091315.1;GCF_900091845.1;GCF_900103585.1;GCF_900104815.1;GCF_900105245.1;GCF_900105755.1;GCF_900110755.1;GCF_900129855.1;GCF_900236475.1;GCF_900290235.1
ID13220,Streptomyces_RG2,62,58,1.06896551724138,GCA_002551355.1;GCA_003268675.1;GCF_000177195.2;GCF_000373645.1;GCF_000429085.1;GCF_000612545.1;GCF_000716685.1;GCF_000717025.1;GCF_000717245.1;GCF_000717645.1;GCF_000717655.1;GCF_000717915.1;GCF_000718135.1;GCF_000718455.1;GCF_000719335.1;GCF_000719345.1;GCF_000720115.1;GCF_000720455.1;GCF_000721175.1;GCF_000725555.1;GCF_000725805.1;GCF_001005295.1;GCF_001044425.1;GCF_001279695.1;GCF_001279725.1;GCF_001653515.1;GCF_001687325.1;GCF_001700505.1;GCF_001715295.1;GCF_001746415.1;GCF_001746425.1;GCF_001905125.1;GCF_001905365.1;GCF_001905445.1;GCF_001905505.1;GCF_001905595.1;GCF_001905735.1;GCF_001905795.1;GCF_001905905.1;GCF_001941845.1;GCF_001953875.1;GCF_002028425.1;GCF_002080455.1;GCF_002082585.1;GCF_002382885.1;GCF_002551245.1;GCF_002803085.1;GCF_002910905.1;GCF_002910915.1;GCF_002941025.1;GCF_003054555.1;GCF_003148825.1;GCF_003248355.1;GCF_900091725.1;GCF_900091955.1;GCF_900105515.1;GCF_900116325.1;GCF_900119365.1
ID11736,Amycolatopsis_RG1,4,3,1.33333333333333,GCF_000384315.1;GCF_002262875.1;GCF_900111885.1
ID11881,Kutzneria,2,1,2,GCF_000568255.1
ID12241,Micromonospora,8,60,0.133333333333333,GCF_000016425.1;GCF_000145235.1;GCF_000158815.1;GCF_000297395.2;GCF_000378825.1;GCF_000379065.1;GCF_000484695.1;GCF_000514815.1;GCF_000718515.1;GCF_000718555.1;GCF_000982955.1;GCF_001567585.1;GCF_001905095.1;GCF_002140155.1;GCF_002210435.1;GCF_002926165.1;GCF_003027925.1;GCF_003172935.1;GCF_003172955.1;GCF_003205615.1;GCF_003236305.1;GCF_003236315.1;GCF_003236335.1;GCF_900089585.1;GCF_900089595.1;GCF_900089605.1;GCF_900090105.1;GCF_900090225.1;GCF_900090235.1;GCF_900090245.1;GCF_900090265.1;GCF_900090275.1;GCF_900090285.1;GCF_900090295.1;GCF_900090305.1;GCF_900090315.1;GCF_900090325.1;GCF_900091415.1;GCF_900091425.1;GCF_900091435.1;GCF_900091445.1;GCF_900091455.1;GCF_900091465.1;GCF_900091475.1;GCF_900091495.1;GCF_900091505.1;GCF_900091515.1;GCF_900091525.1;GCF_900091545.1;GCF_900091555.1;GCF_900091565.1;GCF_900091575.1;GCF_900091585.1;GCF_900091595.1;GCF_900091605.1;GCF_900091615.1;GCF_900091625.1;GCF_900109115.1;GCF_900143515.1;GCF_900156065.1
ID35111,Burkholderiaceae_mixed_RG1,94,118,0.796610169491525,GCA_000173575.1;GCA_001045575.1;GCA_001184395.1;GCA_001184405.1;GCA_001189335.2;GCA_001189345.1;GCA_001190015.1;GCA_001235855.1;GCA_001319865.1;GCF_000011705.1;GCF_000012365.1;GCF_000012945.1;GCF_000013645.1;GCF_000020045.1;GCF_000020125.1;GCF_000172415.1;GCF_000203915.1;GCF_000402035.1;GCF_000472445.1;GCF_000472525.1;GCF_000472545.1;GCF_000519185.1;GCF_000684975.1;GCF_000685015.1;GCF_000685035.1;GCF_000685075.1;GCF_000685095.1;GCF_000687455.2;GCF_000698555.1;GCF_000698575.1;GCF_000698595.1;GCF_000729995.1;GCF_000732615.1;GCF_000739735.1;GCF_000739775.1;GCF_000739815.1;GCF_000959365.1;GCF_000959445.1;GCF_000959525.1;GCF_000959725.1;GCF_000960995.1;GCF_000987075.1;GCF_001028175.1;GCF_001028665.1;GCF_001039005.1;GCF_001189365.1;GCF_001411495.1;GCF_001411805.1;GCF_001424345.1;GCF_001443045.1;GCF_001462435.1;GCF_001522585.2;GCF_001522865.1;GCF_001524625.2;GCF_001544455.2;GCF_001544475.1;GCF_001544495.1;GCF_001544515.1;GCF_001544535.1;GCF_001544555.2;GCF_001544575.2;GCF_001544615.1;GCF_001544695.2;GCF_001544755.2;GCF_001544795.2;GCF_001544835.2;GCF_001544875.2;GCF_001544915.2;GCF_001544975.2;GCF_001545035.1;GCF_001545075.1;GCF_001547525.1;GCF_001580545.1;GCF_001634365.1;GCF_001645125.1;GCF_001718195.1;GCF_001718315.1;GCF_001718795.1;GCF_001718835.1;GCF_001742165.1;GCF_001922345.1;GCF_001931485.1;GCF_002097715.1;GCF_002099195.1;GCF_002220365.1;GCF_002278075.1;GCF_002362315.1;GCF_002870125.1;GCF_002879855.1;GCF_002879865.1;GCF_002879885.1;GCF_002902925.1;GCF_002902945.1;GCF_002902965.1;GCF_002917095.1;GCF_002934455.1;GCF_002973525.1;GCF_003002025.1;GCF_003121405.1;GCF_003269035.1;GCF_900007165.1;GCF_900019265.1;GCF_900044055.2;GCF_900096975.1;GCF_900099835.1;GCF_900100735.1;GCF_900104845.1;GCF_900107685.1;GCF_900108945.1;GCF_900109265.1;GCF_900116445.1;GCF_900141745.1;GCF_900142845.1;GCF_900142905.1;GCF_900176645.1;GCF_900177725.1;GCF_900230185.1;GCF_900258035.1
ID28948,Pseudomonas_E_RG1,285,223,1.2780269058296,GCA_002338065.1;GCA_002379585.1;GCA_002386445.1;GCA_002419965.1;GCA_002434265.1;GCA_003523465.1;GCF_000026105.1;GCF_000259195.1;GCF_000263715.2;GCF_000263855.1;GCF_000281895.1;GCF_000282195.1;GCF_000282215.1;GCF_000282275.2;GCF_000282315.2;GCF_000282375.1;GCF_000282455.1;GCF_000282475.1;GCF_000282495.1;GCF_000282515.1;GCF_000282535.1;GCF_000282975.1;GCF_000292795.1;GCF_000293885.2;GCF_000346755.1;GCF_000364705.1;GCF_000397205.1;GCF_000412675.1;GCF_000416235.1;GCF_000425745.1;GCF_000425785.1;GCF_000425805.1;GCF_000444135.1;GCF_000452705.1;GCF_000498395.2;GCF_000503215.1;GCF_000507185.2;GCF_000512695.2;GCF_000585995.1;GCF_000612585.1;GCF_000631985.1;GCF_000633255.1;GCF_000633395.1;GCF_000690905.1;GCF_000708715.2;GCF_000730425.1;GCF_000730565.1;GCF_000730605.1;GCF_000730645.1;GCF_000730665.1;GCF_000731675.1;GCF_000737245.1;GCF_000746525.1;GCF_000759535.1;GCF_000761155.1;GCF_000774145.1;GCF_000783395.1;GCF_000800255.1;GCF_000800615.1;GCF_000802155.2;GCF_000802965.1;GCF_000817895.1;GCF_000820515.1;GCF_000826105.1;GCF_000829415.1;GCF_000931465.1;GCF_000935045.1;GCF_000967965.1;GCF_000968015.1;GCF_001023535.1;GCF_001042905.1;GCF_001042985.1;GCF_001043005.1;GCF_001043025.1;GCF_001043055.1;GCF_001050345.1;GCF_001269655.1;GCF_001269805.1;GCF_001269885.1;GCF_001269905.1;GCF_001269925.1;GCF_001293465.1;GCF_001293775.1;GCF_001294575.1;GCF_001297015.1;GCF_001297125.1;GCF_001307155.1;GCF_001307275.1;GCF_001320245.1;GCF_001400735.1;GCF_001401155.1;GCF_001411475.1;GCF_001421885.1;GCF_001427125.1;GCF_001429045.1;GCF_001439685.1;GCF_001439695.1;GCF_001439735.1;GCF_001439785.1;GCF_001439805.1;GCF_001439815.1;GCF_001439845.1;GCF_001547895.1;GCF_001579805.1;GCF_001623525.1;GCF_001636055.1;GCF_001642795.1;GCF_001645105.1;GCF_001647715.1;GCF_001648775.1;GCF_001655615.1;GCF_001661075.1;GCF_001679645.1;GCF_001698815.1;GCF_001705435.1;GCF_001708445.1;GCF_001870435.1;GCF_001870465.1;GCF_001874645.1;GCF_001921865.1;GCF_001941965.1;GCF_001945365.1;GCF_001952855.1;GCF_001976065.1;GCF_001983165.1;GCF_001983175.1;GCF_001984065.1;GCF_002018875.1;GCF_002021815.1;GCF_002022275.1;GCF_002025705.1;GCF_002080045.1;GCF_002087235.1;GCF_002091715.1;GCF_002093745.1;GCF_002112385.1;GCF_002112505.1;GCF_002113025.1;GCF_002113125.1;GCF_002113165.1;GCF_002113375.1;GCF_002158995.1;GCF_002165135.1;GCF_002204795.1;GCF_002236105.1;GCF_002236115.1;GCF_002251635.1;GCF_002269125.1;GCF_002269505.1;GCF_002286815.1;GCF_002303925.1;GCF_002356095.1;GCF_002563895.1;GCF_002699985.1;GCF_002741075.1;GCF_002813445.1;GCF_002813455.1;GCF_002814235.1;GCF_002836515.1;GCF_002837185.1;GCF_002843605.1;GCF_002874965.1;GCF_002878485.1;GCF_002906155.1;GCF_002906855.1;GCF_002934065.1;GCF_002934685.1;GCF_002967995.1;GCF_002979555.1;GCF_003024385.1;GCF_003031675.1;GCF_003033885.1;GCF_003050925.1;GCF_003061005.1;GCF_003151075.1;GCF_003205205.1;GCF_003205295.1;GCF_003228315.1;GCF_003231275.1;GCF_003231305.1;GCF_900074915.1;GCF_900100365.1;GCF_900100795.1;GCF_900102035.1;GCF_900102675.1;GCF_900103225.1;GCF_900103345.1;GCF_900103875.1;GCF_900105115.1;GCF_900105155.1;GCF_900105185.1;GCF_900105475.1;GCF_900105485.1;GCF_900105555.1;GCF_900105675.1;GCF_900105735.1;GCF_900105805.1;GCF_900105835.1;GCF_900106045.1;GCF_900106065.1;GCF_900106095.1;GCF_900107155.1;GCF_900107395.1;GCF_900108875.1;GCF_900109755.1;GCF_900109995.1;GCF_900110655.1;GCF_900110765.1;GCF_900111735.1;GCF_900111895.1;GCF_900143095.1;GCF_900156465.1;GCF_900187425.1;GCF_900187445.1;GCF_900187455.1;GCF_900187505.1;GCF_900187565.1;GCF_900187605.1;GCF_900187615.1;GCF_900187645.1;GCF_900188455.1;GCF_900215245.1;GCF_900475285.1
ID11087,Nocardia_RG1,96,53,1.81132075471698,GCF_000250675.2;GCF_000284035.1;GCF_000308415.1;GCF_000308435.1;GCF_000308455.1;GCF_000308475.2;GCF_000308495.1;GCF_000308515.1;GCF_000308555.1;GCF_000308575.1;GCF_000308595.1;GCF_000308675.1;GCF_000308695.1;GCF_000308715.1;GCF_000308755.1;GCF_000308775.1;GCF_000308795.1;GCF_000308835.1;GCF_000482385.1;GCF_000710915.1;GCF_000720425.1;GCF_001182745.1;GCF_001310275.1;GCF_001612615.1;GCF_001612665.1;GCF_001612685.1;GCF_001612725.1;GCF_001612745.1;GCF_001612765.1;GCF_001612785.1;GCF_001612805.1;GCF_001612825.1;GCF_001612885.1;GCF_001612905.1;GCF_001612985.1;GCF_001613045.1;GCF_001613085.1;GCF_001613125.1;GCF_001613205.1;GCF_001613225.1;GCF_001613245.1;GCF_001613365.1;GCF_001613385.1;GCF_001613425.1;GCF_001613445.1;GCF_001613465.1;GCF_001618425.1;GCF_001886715.1;GCF_002081715.1;GCF_002846365.1;GCF_003123685.1;GCF_003182135.1;GCF_900269665.1
ID13295,Streptomyces_RG3,13,25,0.52,GCA_000716465.1;GCA_002355495.1;GCF_000478605.2;GCF_000716335.1;GCF_000716445.1;GCF_000717595.1;GCF_000719555.1;GCF_000725545.1;GCF_000830005.1;GCF_001278075.1;GCF_001280125.1;GCF_001418135.1;GCF_001426405.1;GCF_001426585.1;GCF_001484625.1;GCF_001646665.1;GCF_001865245.1;GCF_001905665.1;GCF_001905825.1;GCF_001905885.1;GCF_002982015.1;GCF_003097515.1;GCF_003122365.1;GCF_900103455.1;GCF_900105415.1
ID11731,Amycolatopsis_RG2,46,30,1.53333333333333,GCF_000220945.1;GCF_000342005.1;GCF_000383915.1;GCF_000384215.1;GCF_000384295.1;GCF_000411975.1;GCF_000478275.1;GCF_000695625.1;GCF_000716785.1;GCF_000717335.1;GCF_000732925.1;GCF_001613935.1;GCF_001620365.2;GCF_001953865.1;GCF_001995215.1;GCF_002155975.1;GCF_002234405.1;GCF_002234595.1;GCF_002564045.1;GCF_002796545.1;GCF_002849735.1;GCF_002904295.1;GCF_002904335.1;GCF_900105055.1;GCF_900105945.1;GCF_900107045.1;GCF_900107925.1;GCF_900110575.1;GCF_900115345.1;GCF_900119165.1
