#BGC_Name,Family Number,substring,file_name,Chromophore,OHHis,Salicylate,OHAsp,Ambiguous,Catechol,Dmaq,Graminine,Hydroxamate,Sum
AP018269.1.region009,2,GCA_003994795,AP018269.1.region009.gbk,0,0,0,1,0,0,0,0,0,1
AP019416.1.region001,4,GCA_004295565,AP019416.1.region001.gbk,0,0,0,1,0,0,0,0,0,1
AP024096.1.region006,5,GCA_015099395,AP024096.1.region006.gbk,0,0,0,1,0,0,0,0,0,1
AP024096.1.region010,6,GCA_015099395,AP024096.1.region010.gbk,0,0,0,1,0,0,0,0,0,1
BMTG01000009.1.region003,13,GCA_014649555,BMTG01000009.1.region003.gbk,0,0,0,0,0,0,0,0,1,1
CP000875.1.region005,18,GCA_000018565,CP000875.1.region005.gbk,0,0,0,0,0,1,0,0,0,1
CP000875.1.region006,19,GCA_000018565,CP000875.1.region006.gbk,0,0,0,1,0,0,0,0,0,1
CP011371.1.region007,21,GCA_001017435,CP011371.1.region007.gbk,0,1,0,1,0,0,0,0,0,2
CP019936.1.region001,24,GCA_002009425,CP019936.1.region001.gbk,0,0,0,0,0,1,0,0,0,1
CP024846.1.region007,26,GCA_004564215,CP024846.1.region007.gbk,0,1,0,0,0,0,0,0,0,1
CP024846.1.region009,27,GCA_004564215,CP024846.1.region009.gbk,0,0,0,0,0,0,0,0,1,1
CP030121.1.region017,31,GCA_006968915,CP030121.1.region017.gbk,0,0,0,1,0,0,0,0,0,1
CP042279.1.region002,33,GCA_007858575,CP042279.1.region002.gbk,0,0,0,0,0,0,0,0,1,1
CP046107.1.region001,35,GCA_016864895,CP046107.1.region001.gbk,0,0,1,0,0,0,0,0,1,2
CP051152.1.region005,37,GCA_003970805,CP051152.1.region005.gbk,0,0,0,0,0,0,0,0,1,1
CP054691.1.region002,40,GCA_013348785,CP054691.1.region002.gbk,0,0,1,0,0,0,0,0,0,1
CP059259.1.region003,41,GCA_013693815,CP059259.1.region003.gbk,0,0,0,0,0,1,0,0,0,1
CP071793.1.region028,44,GCA_017498545,CP071793.1.region028.gbk,0,0,0,1,0,0,0,0,0,1
CP073042.1.region016,45,GCA_018114805,CP073042.1.region016.gbk,0,0,0,0,0,0,0,0,1,1
CP076361.1.region004,47,GCA_018798885,CP076361.1.region004.gbk,0,0,0,0,0,0,0,0,1,1
DCYB01000012.1.region001,50,GCA_002331385,DCYB01000012.1.region001.gbk,0,0,1,0,0,0,0,0,0,1
DEMD01000009.1.region001,52,GCA_002354735,DEMD01000009.1.region001.gbk,0,1,0,1,0,0,0,0,0,2
DF158882.1.region001,55,GCA_000307305,DF158882.1.region001.gbk,0,0,0,0,0,1,0,0,0,1
DIHK01000018.1.region001,57,GCA_002420115,DIHK01000018.1.region001.gbk,0,0,0,1,0,0,0,0,0,1
DLKD01000014.1.region001,63,GCA_002477755,DLKD01000014.1.region001.gbk,0,0,1,0,0,0,0,0,1,2
DNGJ01000519.1.region001,65,GCA_003486305,DNGJ01000519.1.region001.gbk,0,0,0,1,0,0,0,0,0,1
DWVP01000003.1.region001,67,GCA_019120175,DWVP01000003.1.region001.gbk,0,0,0,0,0,0,0,0,1,1
DXCN01000050.1.region001,68,GCA_019115985,DXCN01000050.1.region001.gbk,0,0,0,0,0,1,0,0,0,1
DXIO01000023.1.region001,69,GCA_019112875,DXIO01000023.1.region001.gbk,0,0,0,0,0,0,0,0,1,1
JAAHFS010000006.1.region002,77,GCA_010672865,JAAHFS010000006.1.region002.gbk,0,0,1,0,0,0,0,0,0,1
JAAHFU020000004.1.region002,78,GCA_010672825,JAAHFU020000004.1.region002.gbk,0,0,1,1,0,0,0,0,0,2
JAAHGS010000020.1.region001,79,GCA_010692645,JAAHGS010000020.1.region001.gbk,0,0,1,0,0,0,1,0,0,2
JAAHHJ010000014.1.region001,80,GCA_010692425,JAAHHJ010000014.1.region001.gbk,0,0,1,0,0,0,1,0,0,2
JAAHII010000001.1.region009,81,GCA_010671905,JAAHII010000001.1.region009.gbk,0,0,0,0,0,0,1,0,0,1
JAAHII010000002.1.region001,82,GCA_010671905,JAAHII010000002.1.region001.gbk,0,0,0,1,0,0,0,0,0,1
JAAUOM010000007.1.region001,83,GCA_012034865,JAAUOM010000007.1.region001.gbk,0,0,0,1,0,0,0,0,0,1
JAAUOP010000095.1.region001,84,GCA_012034805,JAAUOP010000095.1.region001.gbk,0,0,0,0,0,0,1,0,0,1
JAAYDP010000229.1.region001,86,GCA_012729135,JAAYDP010000229.1.region001.gbk,0,0,0,0,0,1,0,0,0,1
JABLXQ010000014.1.region001,87,GCA_013178375,JABLXQ010000014.1.region001.gbk,0,1,0,1,0,0,0,0,0,2
JABSOI010000015.1.region001,88,GCA_013216015,JABSOI010000015.1.region001.gbk,0,0,0,1,0,0,0,0,0,1
JABSPA010000009.1.region001,89,GCA_013214175,JABSPA010000009.1.region001.gbk,0,0,0,0,0,1,0,0,0,1
JABSRV010000010.1.region001,91,GCA_013214905,JABSRV010000010.1.region001.gbk,0,0,1,0,0,0,0,0,0,1
JACCEP010000002.1.region001,92,GCA_013416395,JACCEP010000002.1.region001.gbk,0,0,0,0,0,1,0,0,0,1
JACJID010000001.1.region013,95,GCA_014138725,JACJID010000001.1.region013.gbk,0,0,0,0,0,1,0,0,0,1
JADEWQ010000015.1.region001,100,GCA_015207585,JADEWQ010000015.1.region001.gbk,0,0,0,1,0,0,0,0,0,1
JADEXK010000002.1.region001,101,GCA_015207155,JADEXK010000002.1.region001.gbk,0,0,1,0,0,0,0,0,0,1
JADJWY010000023.1.region001,102,GCA_016716085,JADJWY010000023.1.region001.gbk,0,0,0,0,0,1,0,0,0,1
JAEINR010000034.1.region001,104,GCA_016342325,JAEINR010000034.1.region001.gbk,0,0,1,0,0,0,0,0,0,1
JAEPMI010000001.1.region001,105,GCA_017644045,JAEPMI010000001.1.region001.gbk,0,0,0,0,0,1,0,0,0,1
JAFKMZ010000010.1.region001,109,GCA_017305055,JAFKMZ010000010.1.region001.gbk,0,0,0,0,0,1,0,0,0,1
JAFOOX010000052.1.region001,112,GCA_017425245,JAFOOX010000052.1.region001.gbk,0,0,0,0,1,1,0,0,0,2
JAGHZQ010000080.1.region002,114,GCA_017746715,JAGHZQ010000080.1.region002.gbk,0,0,1,0,0,0,0,0,0,1
JAGOQM010000001.1.region001,116,GCA_017991555,JAGOQM010000001.1.region001.gbk,0,0,0,0,1,1,0,0,0,2
JODP01000021.1.region001,123,GCA_000719025,JODP01000021.1.region001.gbk,0,0,0,0,0,0,0,0,1,1
DDHJ01000026.1.region001,126,GCA_002338065,DDHJ01000026.1.region001.gbk,0,0,0,1,0,0,0,0,1,2
KB235926.1.region003,130,GCA_000332255,KB235926.1.region003.gbk,0,0,0,1,0,0,0,0,0,1
KI547165.1.region002,132,GCA_000497835,KI547165.1.region002.gbk,1,0,0,0,0,0,0,0,1,2
MAAL01000115.1.region001,143,GCA_002163245,MAAL01000115.1.region001.gbk,0,0,0,0,0,0,0,0,1,1
MUGG01000218.1.region002,144,GCA_002148405,MUGG01000218.1.region002.gbk,0,0,1,0,0,0,0,0,0,1
MVDH01000001.1.region001,145,GCA_003056245,MVDH01000001.1.region001.gbk,0,0,0,0,0,0,0,0,1,1
JAGIAH010000002.1.region001,148,GCA_017744915,JAGIAH010000002.1.region001.gbk,0,0,0,0,0,0,1,0,0,1
DSPW01000135.1.region001,150,GCA_011332035,DSPW01000135.1.region001.gbk,0,0,0,0,0,0,1,0,0,1
