"Accession ID","Assembly","BiG-SCAPE class","CATECHOL","ContigEdge","Cy_tandem","CyanoBH_Asp1","CyanoBH_Asp2","Description","DMAQ","EntA","EntC","FbnL","FbnM","FecCD","GRAMININE","GrbD","GrbE","HYDROXAMATE","IBH_Asp","IBH_His","IPL","Lys_monoox","name","network_table$Lookup","network_trans_count","NRP.siderophore","NRPS","NRPS.like","OHASP","OHHIS","Organism","Orn_monoox","Peripla_BP_2","Product Prediction","PvdO","PvdP","PYOVERDINE","Region","region_type","SALICYLATE","SalSyn","selected","shared name","Taxonomy","TBH_Asp","TonB_dep_Rec","VbsL","VibH_like"
"NZ_CP077087.1","GCF_014268495.2","Others","0","0","0","0","0","Pseudomonas monsensis strain PGSB 8459 chromosome, complete genome","0","0","0","0","0","0","0","0","0","1","0","0","0","0","GCF_014268495.2_ASM1426849v2_genomic_NZ_CP077087.1.region005","GCF_014268495.2_NZ_CP077087.1.region005","1","1","1","0","1","0","Pseudomonas monsensis","1","0","NRP-siderophore.NRPS","1","1","1","region005","MIXED","0","0","false","GCF_014268495.2_ASM1426849v2_genomic_NZ_CP077087.1.region005","Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas","1","1","0","0"
"NZ_LT629788.1","GCF_900105805.1","Others","0","0","0","0","0","Pseudomonas moraviensis strain LMG 24280 chromosome I","0","0","0","0","0","0","0","0","0","1","0","0","0","0","GCF_900105805.1_IMG-taxon_2639762633_annotated_assembly_genomic_NZ_LT629788.1.region006","GCF_900105805.1_NZ_LT629788.1.region006","1","1","1","0","1","0","Pseudomonas moraviensis","1","0","NRP-siderophore.NRPS.terpene","1","1","1","region006","MIXED","0","0","false","GCF_900105805.1_IMG-taxon_2639762633_annotated_assembly_genomic_NZ_LT629788.1.region006","Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas","1","1","0","0"
"NZ_LT629746.1","GCF_900104735.1","Others","0","0","0","0","0","Pseudomonas lini strain DSM 16768 chromosome I","0","0","0","0","0","0","0","0","0","1","0","0","0","0","GCF_900104735.1_IMG-taxon_2636416176_annotated_assembly_genomic_NZ_LT629746.1.region007","GCF_900104735.1_NZ_LT629746.1.region007","1","1","1","0","1","0","Pseudomonas lini","1","0","NRP-siderophore.NRPS","1","1","1","region007","MIXED","0","0","false","GCF_900104735.1_IMG-taxon_2636416176_annotated_assembly_genomic_NZ_LT629746.1.region007","Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas","1","1","0","0"
"BGC0000413.1","","Others",,,,,,"Pseudomonas protegens Pf-5, complete genome",,,,,,,,,,,,,,,"ref_BGC0000413_BGC0000413.1.region001","",,,,,,,"Pseudomonas protegens Pf-5",,,"NRP-siderophore.NRPS.ranthipeptide",,,,"","",,,"false","ref_BGC0000413_BGC0000413.1.region001","Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas",,,,
"NZ_JACSZQ010000002.1","GCF_014450905.1","Others","0","0","0","0","0","Pseudomonas cerasi strain H346-S h346s_contig_2, whole genome shotgun sequence","0","0","0","0","0","1","0","0","0","0","0","0","0","0","GCF_014450905.1_ASM1445090v1_genomic_NZ_JACSZQ010000002.1.region001","GCF_014450905.1_NZ_JACSZQ010000002.1.region001","2","1","1","0","1","0","Pseudomonas cerasi","0","0","NRP-siderophore.NRPS","1","1","1","region001","MIXED","0","0","false","GCF_014450905.1_ASM1445090v1_genomic_NZ_JACSZQ010000002.1.region001","Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas","1","1","0","0"
"NZ_CP061079.1","GCF_014524625.1","Others","0","0","0","0","0","Pseudomonas chlororaphis strain qlu-1 chromosome, complete genome","0","0","0","0","0","0","0","0","0","1","0","0","0","0","GCF_014524625.1_ASM1452462v1_genomic_NZ_CP061079.1.region011","GCF_014524625.1_NZ_CP061079.1.region011","1","1","1","0","0","0","Pseudomonas chlororaphis","1","0","NRP-siderophore.NRPS.ranthipeptide.resorcinol","1","1","1","region011","MIXED","0","0","false","GCF_014524625.1_ASM1452462v1_genomic_NZ_CP061079.1.region011","Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas","0","1","0","0"
"NZ_FNJH01000001.1","GCF_900103225.1","Others","0","0","0","0","0","Pseudomonas congelans strain DSM 14939, whole genome shotgun sequence","0","0","0","0","0","1","0","0","0","0","0","0","0","0","GCF_900103225.1_IMG-taxon_2663762773_annotated_assembly_genomic_NZ_FNJH01000001.1.region001","GCF_900103225.1_NZ_FNJH01000001.1.region001","2","1","1","0","1","0","Pseudomonas congelans","0","0","NRP-siderophore.NRPS","1","1","1","region001","MIXED","0","0","false","GCF_900103225.1_IMG-taxon_2663762773_annotated_assembly_genomic_NZ_FNJH01000001.1.region001","Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas","1","1","0","0"
"NZ_CP062252.1","GCF_014863605.1","Others","0","0","0","0","0","Pseudomonas allokribbensis strain IzPS23 chromosome, complete genome","0","0","0","0","0","0","0","0","0","1","1","0","0","0","GCF_014863605.1_ASM1486360v1_genomic_NZ_CP062252.1.region005","GCF_014863605.1_NZ_CP062252.1.region005","1","1","1","1","1","0","Pseudomonas allokribbensis","1","0","NRP-siderophore.NRPS.NRPS-like","1","1","1","region005","MIXED","0","0","false","GCF_014863605.1_ASM1486360v1_genomic_NZ_CP062252.1.region005","Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas","0","1","0","0"
"NZ_CP029608.1","GCF_003352185.1","Others","0","0","0","0","0","Pseudomonas kribbensis strain 46-2 chromosome, complete genome","0","0","0","0","0","0","0","0","0","1","0","0","0","0","GCF_003352185.1_ASM335218v1_genomic_NZ_CP029608.1.region004","GCF_003352185.1_NZ_CP029608.1.region004","1","1","1","0","1","0","Pseudomonas kribbensis","1","0","NRP-siderophore.NRPS","1","1","1","region004","MIXED","0","0","false","GCF_003352185.1_ASM335218v1_genomic_NZ_CP029608.1.region004","Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas","1","1","0","0"
"NZ_CP062253.1","GCF_014863585.1","Others","0","0","0","0","0","Pseudomonas gozinkensis strain IzPS32d chromosome, complete genome","0","0","0","0","0","0","0","0","0","1","1","0","0","0","GCF_014863585.1_ASM1486358v1_genomic_NZ_CP062253.1.region004","GCF_014863585.1_NZ_CP062253.1.region004","1","1","1","1","1","0","Pseudomonas gozinkensis","1","0","NRP-siderophore.NRPS.NRPS-like","1","1","1","region004","MIXED","0","0","false","GCF_014863585.1_ASM1486358v1_genomic_NZ_CP062253.1.region004","Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas","0","1","0","0"
