"Assembly"	"Accesion"	"Region"	"NRPS"	"NRP.metallophore"	"NIS"	"Metallophore"	"Span"	"ContigEdge"	"Taxonomy"	"Species"	"Orn_monoox"	"IBH_Asp"	"EntC"	"EntA"	"Lys_monoox"	"SalSyn"	"IPL"	"Cy_tandem"	"VibH_like"	"TBH_Asp"	"PvdO"	"PvdP"	"IBH_His"	"KtzT"	"MetRS.like"	"VbsL"	"FbnL"	"FbnM"	"SBH_Asp"	"GrbD"	"GrbE"	"CyanoBH_Asp1"	"CyanoBH_Asp2"	"X"	"TonB_dep_Rec"	"Peripla_BP_2"	"FecCD"	"TRANSPORT"	"CATECHOL"	"GRAMININE"	"DMAQ"	"HYDROXAMATE"	"SALICYLATE"	"OHASP"	"OHHIS"	"PYOVERDINE"
"GCF_017498545.1_NZ_CP071793.1.region028"	"GCF_017498545.1"	"NZ_CP071793.1"	"region028"	TRUE	TRUE	FALSE	TRUE	"8000053..8102702"	FALSE	"Bacteria_Acidobacteria_Holophagae_Acanthopleuribacterales_Acanthopleuribacteraceae_Sulfidibacter"	"Sulfidibacter corallicola"	NA	NA	NA	NA	NA	NA	NA	NA	NA	427.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
"GCF_003606385.1_NZ_CP032514.1.region004"	"GCF_003606385.1"	"NZ_CP032514.1"	"region004"	TRUE	TRUE	FALSE	TRUE	"2526704..2584604"	FALSE	"Bacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces"	"Actinomyces lilanjuaniae"	NA	NA	301.5	223.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	53.7	244.2	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"GCF_004010955.1_NZ_CP025227.1.region007"	"GCF_004010955.1"	"NZ_CP025227.1"	"region007"	TRUE	TRUE	FALSE	TRUE	"2570567..2629912"	FALSE	"Bacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces"	"Actinomyces wuliandei"	NA	NA	305.4	223.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	54.6	240.6	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"GCF_000006605.1_NC_007164.1.region005"	"GCF_000006605.1"	"NC_007164.1"	"region005"	TRUE	TRUE	FALSE	TRUE	"2048677..2147160"	FALSE	"Bacteria_Actinobacteria_Corynebacteriales_Corynebacteriaceae_Corynebacterium"	"Corynebacterium jeikeium K411"	443.6	NA	384.6	255.3	455.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	101.3	309.2	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
"GCF_000023145.1_NC_012704.1.region003"	"GCF_000023145.1"	"NC_012704.1"	"region003"	TRUE	TRUE	FALSE	TRUE	"2101817..2153966"	FALSE	"Bacteria_Actinobacteria_Corynebacteriales_Corynebacteriaceae_Corynebacterium"	"Corynebacterium kroppenstedtii DSM 44385"	NA	NA	NA	293.4	421.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	73.9	NA	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
"GCF_000175375.1_NZ_ACSH02000002.1.region002"	"GCF_000175375.1"	"NZ_ACSH02000002.1"	"region002"	TRUE	TRUE	FALSE	TRUE	"309081..358580"	FALSE	"Bacteria_Actinobacteria_Corynebacteriales_Corynebacteriaceae_Corynebacterium"	"Corynebacterium matruchotii ATCC 14266"	NA	NA	384.9	264.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	85.7	289.6	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"GCF_000318135.1_NZ_KB290820.1.region001"	"GCF_000318135.1"	"NZ_KB290820.1"	"region001"	TRUE	TRUE	FALSE	TRUE	"124267..196851"	FALSE	"Bacteria_Actinobacteria_Corynebacteriales_Corynebacteriaceae_Corynebacterium"	"Corynebacterium durum F0235"	477	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	88.8	NA	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
"GCF_000375365.1_NZ_AQXB01000002.1.region002"	"GCF_000375365.1"	"NZ_AQXB01000002.1"	"region002"	TRUE	TRUE	FALSE	TRUE	"299333..347275"	FALSE	"Bacteria_Actinobacteria_Corynebacteriales_Corynebacteriaceae_Corynebacterium"	"Corynebacterium mastitidis DSM 44356"	NA	NA	NA	NA	440.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	78.3	294.9	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
"GCF_000418365.1_NC_021663.1.region005"	"GCF_000418365.1"	"NC_021663.1"	"region005"	TRUE	TRUE	FALSE	TRUE	"2218132..2268070"	FALSE	"Bacteria_Actinobacteria_Corynebacteriales_Corynebacteriaceae_Corynebacterium"	"Corynebacterium terpenotabidum Y-11"	NA	NA	NA	NA	542.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	309.8	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
"GCF_000626675.1_NZ_CP006842.1.region003"	"GCF_000626675.1"	"NZ_CP006842.1"	"region003"	TRUE	TRUE	FALSE	TRUE	"737662..804752"	FALSE	"Bacteria_Actinobacteria_Corynebacteriales_Corynebacteriaceae_Corynebacterium"	"Corynebacterium glyciniphilum AJ 3170"	NA	NA	368.2	274.7	519.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	303.2	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
