substring,file_name
GCA_000017645,CP000781.1.region007.gbk
GCA_000018565,CP000875.1.region005.gbk
GCA_000018565,CP000875.1.region006.gbk
GCA_000069185,CU458896.1.region007.gbk
GCA_000196815,FP929003.1.region008.gbk
GCA_000245075,JH600015.1.region001.gbk
GCA_000257205,AEZC01000009.1.region001.gbk
GCA_000257205,AEZC01000066.1.region001.gbk
GCA_000302695,AMFN01000002.1.region001.gbk
GCA_000307305,DF158882.1.region001.gbk
GCA_000330845,CP003938.1.region003.gbk
GCA_000332255,KB235926.1.region003.gbk
GCA_000332645,AMXN01000007.1.region001.gbk
GCA_000378025,KB899087.1.region007.gbk
GCA_000333235,CAPN01000018.1.region001.gbk
GCA_000415505,KE354039.1.region001.gbk
GCA_000421085,ATWE01000007.1.region001.gbk
GCA_000467935,KI259738.1.region001.gbk
GCA_000497835,KI547165.1.region002.gbk
GCA_000497835,KI547171.1.region001.gbk
GCA_000648925,JFHF01000051.1.region001.gbk
GCA_000715605,KL568599.1.region001.gbk
GCA_000715615,KL568871.1.region001.gbk
GCA_000715615,KL569007.1.region001.gbk
GCA_000715855,KL571329.1.region001.gbk
GCA_000716465,JNWL01000050.1.region001.gbk
GCA_000719025,JODP01000021.1.region001.gbk
GCA_000720845,JODU01000017.1.region001.gbk
GCA_000721375,JOGW01000008.1.region002.gbk
GCA_000759445,JRMB01000001.1.region001.gbk
GCA_000759755,BBMW01000009.1.region002.gbk
GCA_000762985,JROA01000001.1.region011.gbk
GCA_000814665,JWIH01000019.1.region001.gbk
GCA_000949895,JWIT01000008.1.region001.gbk
GCA_000953735,LN554852.1.region002.gbk
GCA_001017435,CP011371.1.region007.gbk
GCA_001544595,FCOH02000007.1.region001.gbk
GCA_001552515,BCRI01000012.1.region001.gbk
GCA_001580565,LRBF01000141.1.region001.gbk
GCA_001310375,BAXC01000021.1.region001.gbk
GCA_001586195,CP014609.1.region003.gbk
GCA_001725415,MEGH01000050.1.region001.gbk
GCA_001899235,MKVR01000043.1.region001.gbk
GCA_001899795,MKWO01000004.1.region001.gbk
GCA_001899795,MKWO01000054.1.region001.gbk
GCA_002009425,CP019936.1.region001.gbk
GCA_002095305,MIEI01000014.1.region001.gbk
GCA_002101905,LQPU01000009.1.region001.gbk
GCA_002102225,LQPB01000099.1.region001.gbk
GCA_002110465,NEED01000071.1.region001.gbk
GCA_002148405,MUGG01000218.1.region002.gbk
GCA_002154345,MUNB01000011.1.region001.gbk
GCA_002163245,MAAL01000115.1.region001.gbk
GCA_002172675,NETF01000190.1.region001.gbk
GCA_002213445,NJIE01000003.1.region001.gbk
GCA_002271215,CP018628.1.region001.gbk
GCA_002291465,CP021238.1.region008.gbk
GCA_002324875,NTJG01000002.1.region001.gbk
GCA_002331385,DCYB01000012.1.region001.gbk
GCA_002338065,DDHJ01000026.1.region001.gbk
GCA_002340255,DDLS01000017.1.region001.gbk
GCA_002354735,DEMD01000009.1.region001.gbk
