BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
GCF_000006605.1_ASM660v1_genomic_NC_007164.1.region005	NC_007164.1	Corynebacterium jeikeium K411, complete sequence	NRP-siderophore.NRPS	Others	Corynebacterium jeikeium K411	Bacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium
GCF_000007125.1_ASM712v1_genomic_NC_003318.1.region001	NC_003318.1	Brucella melitensis bv. 1 str. 16M chromosome II, complete sequence	NRP-siderophore	Others	Brucella melitensis bv. 1 str. 16M	Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,Brucella/Ochrobactrum group,Brucella
GCF_000007805.1_ASM780v1_genomic_NC_004578.1.region003	NC_004578.1	Pseudomonas syringae pv. tomato str. DC3000, complete sequence	NRP-siderophore.NRPS	Others	Pseudomonas syringae pv. tomato str. DC3000	Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
GCF_000007805.1_ASM780v1_genomic_NC_004578.1.region004	NC_004578.1	Pseudomonas syringae pv. tomato str. DC3000, complete sequence	NRP-siderophore.NRPS.T1PKS	Others	Pseudomonas syringae pv. tomato str. DC3000	Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
GCF_000008445.1_ASM844v1_genomic_NC_007530.2.region003	NC_007530.2	Bacillus anthracis str. 'Ames Ancestor', complete sequence	NRP-siderophore.NRPS	Others	Bacillus anthracis str. 'Ames Ancestor'	Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus group
GCF_000009365.1_ASM936v1_genomic_NC_008260.1.region003	NC_008260.1	Alcanivorax borkumensis SK2, complete sequence	NRP-siderophore.NRPS	Others	Alcanivorax borkumensis SK2	Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax
GCF_000009805.1_ASM980v1_genomic_NC_006361.1.region003	NC_006361.1	Nocardia farcinica IFM 10152, complete sequence	terpene.NRPS.NRP-siderophore	Others	Nocardia farcinica IFM 10152	Bacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Nocardia
GCF_000010305.1_ASM1030v1_genomic_NC_012489.1.region003	NC_012489.1	Gemmatimonas aurantiaca T-27, complete sequence	NRP-siderophore.NRPS	Others	Gemmatimonas aurantiaca T-27	Bacteria,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas
GCF_000010525.1_ASM1052v1_genomic_NC_009937.1.region005	NC_009937.1	Azorhizobium caulinodans ORS 571, complete sequence	NRP-siderophore.NRPS	Others	Azorhizobium caulinodans ORS 571	Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Xanthobacteraceae,Azorhizobium
GCF_000010605.1_ASM1060v1_genomic_NC_010572.1.region034	NC_010572.1	Streptomyces griseus subsp. griseus NBRC 13350, complete sequence	NRPS.NRPS-like.PKS-like.transAT-PKS.NRP-siderophore.T1PKS	Others	Streptomyces griseus subsp. griseus NBRC 13350	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
GCF_000011245.1_ASM1124v1_genomic_NC_004193.1.region003	NC_004193.1	Oceanobacillus iheyensis HTE831, complete sequence	NRP-siderophore.NRPS	Others	Oceanobacillus iheyensis HTE831	Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Oceanobacillus
GCF_000012685.1_ASM1268v1_genomic_NC_008095.1.region010	NC_008095.1	Myxococcus xanthus DK 1622, complete sequence	NRP-siderophore.NRPS.T1PKS	Others	Myxococcus xanthus DK 1622	Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacterineae,Myxococcaceae,Myxococcus
GCF_000012945.1_ASM1294v1_genomic_NC_007510.1.region002	NC_007510.1	Burkholderia lata chromosome 1, complete sequence	NRP-siderophore.NRPS	Others	Burkholderia lata	Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia cepacia complex
GCF_000012945.1_ASM1294v1_genomic_NC_007511.1.region002	NC_007511.1	Burkholderia lata chromosome 2, complete sequence	NRP-siderophore.NRPS	Others	Burkholderia lata	Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia cepacia complex
GCF_000012985.1_ASM1298v1_genomic_NC_007645.1.region014	NC_007645.1	Hahella chejuensis KCTC 2396, complete sequence	NRP-siderophore.NRPS	Others	Hahella chejuensis KCTC 2396	Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Hahellaceae,Hahella
GCF_000013645.1_ASM1364v1_genomic_NC_007952.1.region005	NC_007952.1	Paraburkholderia xenovorans LB400 chromosome 2, complete sequence	NRP-siderophore.NRPS	Others	Paraburkholderia xenovorans LB400	Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia
GCF_000013665.1_ASM1366v1_genomic_NC_007912.1.region005	NC_007912.1	Saccharophagus degradans 2-40, complete sequence	NRP-siderophore.NRPS	Others	Saccharophagus degradans 2-40	Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Saccharophagus
GCF_000015305.1_ASM1530v1_genomic_NC_008726.1.region011	NC_008726.1	Mycolicibacterium vanbaalenii PYR-1, complete sequence	NRP-siderophore.NRPS.T1PKS	Others	Mycolicibacterium vanbaalenii PYR-1	Bacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium
GCF_000015565.1_ASM1556v1_genomic_NC_008786.1.region002	NC_008786.1	Verminephrobacter eiseniae EF01-2, complete sequence	NRP-siderophore.NRPS.T1PKS	Others	Verminephrobacter eiseniae EF01-2	Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Verminephrobacter
GCF_000017845.1_ASM1784v1_genomic_NC_010546.1.region003	NC_010546.1	Crocosphaera subtropica ATCC 51142 chromosome circular, complete sequence	NRP-siderophore.NRPS-like.NRPS.T1PKS	Others	Crocosphaera subtropica ATCC 51142	Bacteria,Cyanobacteria,Oscillatoriophycideae,Chroococcales,Aphanothecaceae,Crocosphaera,Crocosphaera subtropica
GCF_000018045.1_ASM1804v1_genomic_NC_009792.1.region001	NC_009792.1	Citrobacter koseri ATCC BAA-895, complete sequence	NRP-siderophore.NRPS.T1PKS	Others	Citrobacter koseri ATCC BAA-895	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter
GCF_000018045.1_ASM1804v1_genomic_NC_009792.1.region003	NC_009792.1	Citrobacter koseri ATCC BAA-895, complete sequence	NRP-siderophore.NRPS.T1PKS	Others	Citrobacter koseri ATCC BAA-895	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter
GCF_000018045.1_ASM1804v1_genomic_NC_009792.1.region005	NC_009792.1	Citrobacter koseri ATCC BAA-895, complete sequence	NRP-siderophore.NRPS	Others	Citrobacter koseri ATCC BAA-895	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter
GCF_000018105.1_ASM1810v1_genomic_NC_009926.1.region001	NC_009926.1	Acaryochloris marina MBIC11017 plasmid pREB1, complete sequence	NRP-siderophore.NRPS.T1PKS	Others	Acaryochloris marina MBIC11017	Bacteria,Cyanobacteria,Synechococcales,Acaryochloridaceae,Acaryochloris
GCF_000020025.1_ASM2002v1_genomic_NC_010628.1.region014	NC_010628.1	Nostoc punctiforme PCC 73102, complete sequence	RRE-containing.spliceotide.NRPS.lanthipeptide-class-v.NRP-siderophore.T1PKS.transAT-PKS-like	Others	Nostoc punctiforme PCC 73102	Bacteria,Cyanobacteria,Nostocales,Nostocaceae,Nostoc
GCF_000020045.1_ASM2004v1_genomic_NC_010623.1.region002	NC_010623.1	Paraburkholderia phymatum STM815 chromosome 2, complete sequence	NRP-siderophore.NRPS	Others	Paraburkholderia phymatum STM815	Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia
GCF_000020125.1_ASM2012v1_genomic_NC_010676.1.region002	NC_010676.1	Paraburkholderia phytofirmans PsJN chromosome 2, complete sequence	NRP-siderophore.NRPS	Others	Paraburkholderia phytofirmans PsJN	Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia
GCF_000021045.1_ASM2104v1_genomic_NC_012560.1.region004	NC_012560.1	Azotobacter vinelandii DJ, complete sequence	NRP-siderophore.NRPS	Others	Azotobacter vinelandii DJ	Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Azotobacter
GCF_000021045.1_ASM2104v1_genomic_NC_012560.1.region005	NC_012560.1	Azotobacter vinelandii DJ, complete sequence	NRP-siderophore.NRPS	Others	Azotobacter vinelandii DJ	Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Azotobacter
GCF_000021745.1_ASM2174v1_genomic_NC_011666.1.region011	NC_011666.1	Methylocella silvestris BL2, complete sequence	NRP-siderophore.NRPS.RiPP-like	Others	Methylocella silvestris BL2	Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Beijerinckiaceae,Methylocella
GCF_000021805.1_ASM2180v1_genomic_NC_011726.1.region007	NC_011726.1	Rippkaea orientalis PCC 8801, complete sequence	NRP-siderophore.NRPS.T1PKS	Others	Rippkaea orientalis PCC 8801	Bacteria,Cyanobacteria,Oscillatoriophycideae,Chroococcales,Aphanothecaceae,Rippkaea,Rippkaea orientalis
GCF_000021825.1_ASM2182v1_genomic_NC_011738.1.region001	NC_011738.1	Gloeothece citriformis PCC 7424 plasmid pP742401, complete sequence	NRP-siderophore.RRE-containing.NRPS	Others	Gloeothece citriformis PCC 7424	Bacteria,Cyanobacteria,Oscillatoriophycideae,Chroococcales,Aphanothecaceae,Gloeothece,Gloeothece citriformis
GCF_000021925.1_ASM2192v1_genomic_NC_011830.1.region003	NC_011830.1	Desulfitobacterium hafniense DCB-2, complete sequence	NRP-siderophore.NRPS	Others	Desulfitobacterium hafniense DCB-2	Bacteria,Firmicutes,Clostridia,Eubacteriales,Desulfitobacteriaceae,Desulfitobacterium
GCF_000023145.1_ASM2314v1_genomic_NC_012704.1.region003	NC_012704.1	Corynebacterium kroppenstedtii DSM 44385, complete sequence	NRP-siderophore.NRPS	Others	Corynebacterium kroppenstedtii DSM 44385	Bacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium
GCF_000023245.1_ASM2324v1_genomic_NC_013093.1.region006	NC_013093.1	Actinosynnema mirum DSM 43827, complete sequence	NRP-siderophore.NRPS.T1PKS	Others	Actinosynnema mirum DSM 43827	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinosynnema
GCF_000023245.1_ASM2324v1_genomic_NC_013093.1.region025	NC_013093.1	Actinosynnema mirum DSM 43827, complete sequence	NRP-siderophore.NRPS	Others	Actinosynnema mirum DSM 43827	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinosynnema
GCF_000023545.1_ASM2354v1_genomic_NC_012880.1.region003	NC_012880.1	Musicola paradisiaca Ech703, complete sequence	NRP-siderophore.NRPS	Others	Musicola paradisiaca Ech703	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Musicola
GCF_000023565.1_ASM2356v1_genomic_NC_012912.1.region005	NC_012912.1	Dickeya chrysanthemi Ech1591, complete sequence	NRP-siderophore.NRPS	Others	Dickeya chrysanthemi Ech1591	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Dickeya
GCF_000023865.1_ASM2386v1_genomic_NC_013159.1.region002	NC_013159.1	Saccharomonospora viridis DSM 43017, complete sequence	NRP-siderophore.T3PKS.NRPS	Others	Saccharomonospora viridis DSM 43017	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Saccharomonospora
GCF_000024205.1_ASM2420v1_genomic_NC_013216.1.region008	NC_013216.1	Desulfofarcimen acetoxidans DSM 771, complete sequence	NRP-siderophore.NRPS	Others	Desulfofarcimen acetoxidans DSM 771	Bacteria,Firmicutes,Clostridia,Eubacteriales,Peptococcaceae,Desulfofarcimen
