ID,designation_header,strain_number_header,is_type_strain_header,species,"Genome seq. accession number"
159652,R-68213,"DSM 105287, LMG 29911",1,"Abditibacterium utsteinense",GCA_002973605
219,,"DSM 9849, ATCC 49176, CIP 103242, SC 10",1,"Abiotrophia defectiva",GCA_000160075
159837,OUC007,"KCTC 52933, MCCC 1K03450, JCM 32025",1,"Abyssibacter profundi",GCA_003151135
132558,,"DSM 29158, CCTCC AB 2014213, YIM M12140, JCM 30296",1,"Abyssicoccus albus",GCA_003815035
24718,FYK2218,"DSM 28897, KCTC 12899, NBRC 101209",1,"Acanthopleuribacter pedis",GCA_017377855
7517,CSC,"DSM 14247, CCUG 49701, NBRC 107788, CIP 109141, JCM 14300",1,"Acaricomes phytoseiuli",GCA_000376245
160325,SAP-6,"DSM 104038, KCTC 52622",1,"Acerihabitans arboris",GCA_010131535
164491,HSLZ-75,"JCM 33270, CICC 6269",1,"Acetilactobacillus jinshanensis",GCA_004359375
6338,"12185, 139 B","DSM 5522, ATCC 43876",1,"Acetitomaculum ruminis",GCA_900112085
2838,Z-7026,"DSM 17461, VKM B-2349",1,"Clostridium alkalicellulosi",GCA_008125075
17674,CD2,"DSM 1870, ATCC 33288, NRC 2248",1,"Acetivibrio cellulolyticus",GCA_000179595
2853,EBR-02E-0045,"DSM 19732, NBRC 101661, EBR 45",1,"Acetivibrio clariflavus",GCA_000237085
157972,N2K1,"DSM 107956, CECT 9704",1,"Acetivibrio mesophilus",GCA_004102745
132679,GGR1,"DSM 101079, CECT 9155",1,"Acetivibrio saccincola",GCA_002844395
2827,CSK1,"DSM 16021, IAM 15070, JCM 21531, NBRC 103399",1,"Acetivibrio straminisolvens",GCA_000521465
2729,,"DSM 1237, ATCC 27405, JCM 9322, NCIMB 10682, CECT 593, IAM 13660, LMG 10435, NBRC 103400, NRRL B-4536, VPI 7372",1,"Acetivibrio thermocellus",GCA_000015865
2728,LQ8,"DSM 1313",0,"Acetivibrio thermocellus",GCA_000184925
2730,LQR1,"DSM 2360, JCM 9323, ATCC 35609",0,"Acetivibrio thermocellus",GCA_001692755
22965,YS,"DSM 25991",0,"Acetivibrio thermocellus",GCA_000255575
22966,AD2,"DSM 25992",0,"Acetivibrio thermocellus",GCA_000255615
,,,,,GCA_002564085
131392,ST07-YE,"DSM 27512, JCM 19400",1,"Acetoanaerobium pronyense",GCA_017874355
2717,HF,"DSM 519, ATCC 12662, CCUG 9281, JCM 1433, NCIMB 10654, BCRC 14485",1,"Acetoanaerobium sticklandii",GCA_000196455
2,,"DSM 3508, ATCC 15973, NCIB 8621, CCUG 18122, LMG 1261-t1, LMG 1261 1, CCTM 3043, NBRC 14818, JCM 7641, BCRC 11688, CCM 3620, CECT 298, CGMCC 1.1809, CIP 103111, ICMP 8807, IFO 14818, LMD 23.1, LMG 1261, LMG 1504, NCCB 23001, NCIMB 8621, VTT E-042567, VTT E-97828",1,"Acetobacter aceti",GCA_000193495
,,,,,GCA_000963905
,,,,,GCA_004341595
135985,,"CIP 102998, IAM 1802, IFO 3281, JCM 20268, LMG 1512, NBRC 3281",0,"Acetobacter aceti",GCA_002723895
162842,,"JCM 20276, IAM 1814, LMG 1372, LMG 1695",0,"Acetobacter aceti",GCA_014218315
163302,,"JCM 25076, LMG 1590",1,"Acetobacter pasteurianus",GCA_001766235
12,,"DSM 14362, ATCC 23765, LMG 1625, NCIMB 8894, JCM 17273, CIP 107722, VTT E-042461",1,"Acetobacter cerevisiae",GCA_001580535
15,4H-1,"DSM 15549, IFO 16605, JCM 11196, NBRC 16605, NRIC 0482, CIP 107380",1,"Acetobacter cibinongensis",GCA_000963925
,,,,,GCA_007989305
10,,"DSM 4493, ATCC 23753, CCUG 18130, IAM 14359, LMG 1626, NCIMB 8935, JCM 21172, BCRC 12953, CCM 3613, IFO 13751, NBRC 13751",1,"Acetobacter estunensis",GCA_011516945
23,"985, R-36330","DSM 19596, LMG 24244",1,"Acetobacter fabarum",GCA_011516925
22,"430A, R-29337","DSM 18895, LMG 23848",1,"Acetobacter ghanensis",GCA_011516865
18,5H-1,"DSM 15552, IFO 16471, JCM 10948, NBRC 16471, NRIC 0313, BCRC 17167, LMG 19824",1,"Acetobacter indonesiensis",GCA_000963945
,,,,,GCA_007991075
23489,R-49742,"DSM 27328, LMG 27439",1,"Acetobacter lambici",GCA_011516885
9,,"DSM 4491, ATCC 12875, CCUG 18127, IMET 10734, JCM 17121, LMD 31.2, LMG 1579, LMG 1617, NCIMB 8620, CCM 3606, ICMP 8610, IFO 13753, NBRC 13753, NCCB 31002",1,"Acetobacter lovaniensis",GCA_011516875
,,,,,GCA_014207635
13,,"DSM 14337, CIP 108768, LMG 1746, JCM 17274, ATCC 14337, BCRC 17641, VTT E-042462",1,"Acetobacter malorum",GCA_001580615
20,RG1,"DSM 23921, LMG 23498, MTCC 6912, JCM 33644, BCC 33377, BCRC 80095, NBRC 105050, NRIC 0976, TBRC 15",1,"Acetobacter nitrogenifigens",GCA_000429165
,,,,,GCA_007991375
19,B13,"DSM 23926, CECT 5830, LMG 21952",1,"Acetobacter oeni",GCA_011516825
,,,,,GCA_014196315
132838,"B 13","DSM 17891, CECT 5830, LMG 21952",1,"Acetobacter oeni",GCA_011516825
163333,,"JCM 25146, KACC 19723, LMG 26457, NBRC 111467, NRIC 0658",1,"Acetobacter okinawensis",GCA_000613865
16,21F-2,"DSM 15550, IFO 16606, JCM 1195, NBRC 16606, NRIC 0481, JCM 11195, CIP 107379",1,"Acetobacter orientalis",GCA_000963965
,,,,,GCA_007989335
8,,"DSM 4492, ATCC 12876, CCUG 18126, IMET 10752, LMD 31.3, LMG 1282, LMG 1583, NCIMB 8622, PDDCC 8809, KCTC 12329, JCM 7639, BCRC 11568, CCM 3610, ICMP 8809, IFO 13752, NBRC 13752, NCCB 31003, VTT E-042463",1,"Acetobacter orleanensis",GCA_000964205
,,,,,GCA_001329035
,,,,,GCA_001581005
,,,,,GCA_002358055
,,,,,GCA_006539325
163331,,"JCM 25143, KACC 19722, LMG 26456, NBRC 111466, NRIC 0655",1,"Acetobacter papayae",GCA_000613285
4,190,"DSM 3509, ATCC 33445, LMD 22.1, JCM 7640, BCRC 14145, CCM 2374, CCUG 18125, CGMCC 1.1810, CIP 103108, ICMP 8808, LMG 1262, NBRC 106471, NCCB 22001, NCIMB 12228, VTT E-97830",1,"Acetobacter pasteurianus",GCA_000285275
,,,,,GCA_003332155
,,,,,GCA_003850805
7,"BU 343","DSM 46619, ATCC 6439, CCM 1771, IFO 3222, IMET 10602, Lock 83, NBRC 3222, NCIB 3924, NCTC 3924, JCM 20279, IAM 1817, LMD 39.4, LMG 1577, NCIMB 3924",0,"Acetobacter pasteurianus",GCA_003850845
24,"L. 1374","DSM 2347, ATCC 12874, NCIB 8618, IFO 13755, JCM 25077, ATCC 12784, BCRC 12954, CCM 3615, CCUG 18131, KACC 19721, LMG 1635, NBRC 13755, NCCB 88049, NCCB 89009, NCIMB 8618, NRIC 0475",0,"Acetobacter pasteurianus",GCA_006539345
,,,,,GCA_008125125
,,,,,GCA_011516745
135987,,"CIP 103000, IAM 1808, IFO 3188, JCM 20273, NBRC 3188, NRRL B-56",0,"Acetobacter pasteurianus",GCA_003850825
135988,,"CIP 103001, IAM 1811, IFO 3299, JCM 20274, LMG 1553, NBRC 3299",0,"Acetobacter pasteurianus",GCA_003850965
162906,,"JCM 20384, ATCC 9322, IAM 12073, LMG 1604, NCIMB 7113, NCTC 7113",0,"Acetobacter pasteurianus",GCA_001581085
163337,,"JCM 25330, KACC 19724, LMG 26458, NBRC 111468, NRIC 0961",1,"Acetobacter persici",GCA_000613905
21,CWBI-B418,"DSM 18889, LMG 23690",1,"Acetobacter senegalensis",GCA_001580995
